Fecha,Usuario,Documento de Recepción,Nota,SKU,Código Barras,Producto,Cantidad,Serie,Costo Neto Unitario,Costo Neto Total
01/10/2021,NATALY BAEZA,Sin Documento,Ajuste de Stock: NATALY BAEZA,40383105,6901634517404,PORTA CELULAR BRACKET SH-3105 BICI BRAZO,2,,"1.990,00",3.98
01/10/2021,NATALY BAEZA,GUIA DE TRAPASO Nº 2142,Recepcion / NATALY BAEZA,613407253,613407253,VIDRIO 5D IPHONE 7,9,,"673,00",6.057
01/10/2021,NATALY BAEZA,Factura Nº 13973,IMPOMARKET,92378442,6925281948442,PARLANTE BLUETOOTH JBL GO2 BLACK,10,,"17.990,00",179.9
01/10/2021,NATALY BAEZA,Factura Nº 13973,IMPOMARKET,92378527,6925281948527,PARLANTE BLUETOOTH JBL GO2 ORANGE,5,,"17.990,00",89.95
01/10/2021,NATALY BAEZA,Factura Nº 13973,IMPOMARKET,92378534,6925281948534,PARLANTE BLUETOOTH JBL GO2 NAVY,5,,"17.990,00",89.95
02/10/2021,NATALY BAEZA,Sin Documento,Recepcion / NATALY BAEZA,8944870161787,8944870161770,CARGADOR CASA CABLE USB-C IRM-2002121,1,,"1.794,00",1.794
05/10/2021,NATALY BAEZA,Sin Documento,Ajuste de Stock: NATALY BAEZA,183314284,1802007180018,VIDRIO TEMPLADO SAM A10S,1,,"0,00",0
06/10/2021,NATALY FLORIDA,GUIA DE TRAPASO Nº 2152,Recepcion / NATALY FLORIDA,40383110,40383110,"TRIPODE 1,0 MT 3110",1,,"3.990,00",3.99
06/10/2021,NATALY FLORIDA,GUIA DE TRAPASO Nº 2152,Recepcion / NATALY FLORIDA,4038330A,4038330A,"TRIPODE 1,3 MT 330A",2,,"5.990,00",11.98
06/10/2021,NATALY FLORIDA,GUIA DE TRAPASO Nº 2152,Recepcion / NATALY FLORIDA,87386878,7858816068782,PORTA CELULAR IRM-06878 PINZA BRAZO,2,,"1.144,20",2.288
06/10/2021,NATALY FLORIDA,GUIA DE TRAPASO Nº 2152,Recepcion / NATALY FLORIDA,989123105,041333038865,PILA LITIO CR2032 DURACELL,5,,"420,00",2.1
06/10/2021,NATALY FLORIDA,GUIA DE TRAPASO Nº 2152,Recepcion / NATALY FLORIDA,87024396,7858816043963,LECTOR DE TARJETAS USB IRM-4396,1,,"294,00",294
06/10/2021,NATALY FLORIDA,GUIA DE TRAPASO Nº 2152,Recepcion / NATALY FLORIDA,87025377,7858816053771,LECTOR SD/MICRO SD USB-V8 IRM-05377,5,,"378,00",1.89
06/10/2021,NATALY FLORIDA,GUIA DE TRAPASO Nº 2152,Recepcion / NATALY FLORIDA,22084369,6925871643696,CABLE USB-V8 1 MT ET-E4369,1,,"630,25",630
06/10/2021,NATALY FLORIDA,GUIA DE TRAPASO Nº 2152,Recepcion / NATALY FLORIDA,40350700,6918027003345,AUDIFONOS MANOS LIBRES TIPO IPHONE ECONOMICO,2,,"1.600,00",3.2
06/10/2021,NATALY FLORIDA,GUIA DE TRAPASO Nº 2152,Recepcion / NATALY FLORIDA,22351281,6925871612814,AUDIFONOS MANOS LIBRES ET-A1281M,1,,"957,98",958
06/10/2021,NATALY FLORIDA,GUIA DE TRAPASO Nº 2152,Recepcion / NATALY FLORIDA,22351335,6925871613354,AUDIFONOS MANOS LIBRES ET-A1335M,1,,"957,98",958
06/10/2021,NATALY FLORIDA,GUIA DE TRAPASO Nº 2152,Recepcion / NATALY FLORIDA,66356053,7895623060530,AUDIFONOS MANOS LIBRES HAOMAI-06053 INFANTIL,1,,"1.261,00",1.261
06/10/2021,NATALY FLORIDA,GUIA DE TRAPASO Nº 2152,Recepcion / NATALY FLORIDA,98206287,7809601116287,MOUSEPAD CON ALMOHADILLA FIDDLER,1,,"2.479,00",2.479
06/10/2021,NATALY FLORIDA,GUIA DE TRAPASO Nº 2152,Recepcion / NATALY FLORIDA,87385283,7858816052835,PORTA CELULAR IRM-05283 RETROVISOR BRAZO,1,,"1.261,00",1.261
06/10/2021,NATALY FLORIDA,GUIA DE TRAPASO Nº 2152,Recepcion / NATALY FLORIDA,98350288,6932448282882,AUDIFONO MULTIMEDIA SONIA SN-288MV ELECTRONICA MENOR,2,,"3.319,33",6.639
06/10/2021,NATALY FLORIDA,GUIA DE TRAPASO Nº 2152,Recepcion / NATALY FLORIDA,22084368,6925871643689,CABLE USB-C 1 MT ET-E4368C,2,,"890,76",1.782
06/10/2021,NATALY FLORIDA,GUIA DE TRAPASO Nº 2152,Recepcion / NATALY FLORIDA,98031003,021299181003,AUDIFONOS KOSS KPH7 NEGRO ELECTRONICA MENOR,2,,"1.588,10",3.176
06/10/2021,NATALY FLORIDA,GUIA DE TRAPASO Nº 2152,Recepcion / NATALY FLORIDA,10003936,10003936,TARJETA DE AUDIO USB 7.1 COD 1684 DOBLE,1,,"1.891,00",1.891
